city,city_ascii,state_id,state_name,county_fips,county_name,county_fips_all,county_name_all
South Creek,South Creek,WA,Washington,53053,Pierce,53053,Pierce
Roslyn,Roslyn,WA,Washington,53037,Kittitas,53037,Kittitas
Sprague,Sprague,WA,Washington,53043,Lincoln,53043,Lincoln
Gig Harbor,Gig Harbor,WA,Washington,53053,Pierce,53053,Pierce
Lake Cassidy,Lake Cassidy,WA,Washington,53061,Snohomish,53061,Snohomish
Tenino,Tenino,WA,Washington,53067,Thurston,53067,Thurston
Jamestown,Jamestown,WA,Washington,53009,Clallam,53009,Clallam
Three Lakes,Three Lakes,WA,Washington,53061,Snohomish,53061,Snohomish
Curlew Lake,Curlew Lake,WA,Washington,53019,Ferry,53019,Ferry
Chain Lake,Chain Lake,WA,Washington,53061,Snohomish,53061,Snohomish
Pateros,Pateros,WA,Washington,53047,Okanogan,53047,Okanogan
Rosburg,Rosburg,WA,Washington,53069,Wahkiakum,53069,Wahkiakum
Parkland,Parkland,WA,Washington,53053,Pierce,53053,Pierce
Birch Bay,Birch Bay,WA,Washington,53073,Whatcom,53073,Whatcom
Ashford,Ashford,WA,Washington,53053,Pierce,53053,Pierce
Navy Yard City,Navy Yard City,WA,Washington,53035,Kitsap,53035,Kitsap
Omak,Omak,WA,Washington,53047,Okanogan,53047,Okanogan
Farmington,Farmington,WA,Washington,53075,Whitman,53075,Whitman
Buckley,Buckley,WA,Washington,53053,Pierce,53053,Pierce
Cathcart,Cathcart,WA,Washington,53061,Snohomish,53061,Snohomish
Poulsbo,Poulsbo,WA,Washington,53035,Kitsap,53035,Kitsap
Anacortes,Anacortes,WA,Washington,53057,Skagit,53057,Skagit
Maplewood,Maplewood,WA,Washington,53053,Pierce,53053,Pierce
Creston,Creston,WA,Washington,53043,Lincoln,53043,Lincoln
Rockford,Rockford,WA,Washington,53063,Spokane,53063,Spokane
Wishram,Wishram,WA,Washington,53039,Klickitat,53039,Klickitat
Centralia,Centralia,WA,Washington,53041,Lewis,53041,Lewis
South Hill,South Hill,WA,Washington,53053,Pierce,53053,Pierce
Longview Heights,Longview Heights,WA,Washington,53015,Cowlitz,53015,Cowlitz
Erlands Point-Kitsap Lake,Erlands Point-Kitsap Lake,WA,Washington,53035,Kitsap,53035,Kitsap
Amboy,Amboy,WA,Washington,53011,Clark,53011,Clark
St. John,St. John,WA,Washington,53075,Whitman,53075,Whitman
Dallesport,Dallesport,WA,Washington,53039,Klickitat,53039,Klickitat
Ketron Island,Ketron Island,WA,Washington,53053,Pierce,53053,Pierce
Mesa,Mesa,WA,Washington,53021,Franklin,53021,Franklin
Fife,Fife,WA,Washington,53053,Pierce,53053,Pierce
Moses Lake North,Moses Lake North,WA,Washington,53025,Grant,53025,Grant
Chewelah,Chewelah,WA,Washington,53065,Stevens,53065,Stevens
Grayland,Grayland,WA,Washington,53027,Grays Harbor,53027,Grays Harbor
Kittitas,Kittitas,WA,Washington,53037,Kittitas,53037,Kittitas
Camano,Camano,WA,Washington,53029,Island,53029,Island
Monroe North,Monroe North,WA,Washington,53061,Snohomish,53061,Snohomish
North Bonneville,North Bonneville,WA,Washington,53059,Skamania,53059,Skamania
Klickitat,Klickitat,WA,Washington,53039,Klickitat,53039,Klickitat
Loon Lake,Loon Lake,WA,Washington,53065,Stevens,53065,Stevens
Newport,Newport,WA,Washington,53051,Pend Oreille,53051,Pend Oreille
Mead,Mead,WA,Washington,53063,Spokane,53063,Spokane
Cashmere,Cashmere,WA,Washington,53007,Chelan,53007,Chelan
Aberdeen Gardens,Aberdeen Gardens,WA,Washington,53027,Grays Harbor,53027,Grays Harbor
Ocean Shores,Ocean Shores,WA,Washington,53027,Grays Harbor,53027,Grays Harbor
Basin City,Basin City,WA,Washington,53021,Franklin,53021,Franklin
Wilkeson,Wilkeson,WA,Washington,53053,Pierce,53053,Pierce
Meadow Glade,Meadow Glade,WA,Washington,53011,Clark,53011,Clark
Arlington Heights,Arlington Heights,WA,Washington,53061,Snohomish,53061,Snohomish
Uniontown,Uniontown,WA,Washington,53075,Whitman,53075,Whitman
Oakesdale,Oakesdale,WA,Washington,53075,Whitman,53075,Whitman
West Side Highway,West Side Highway,WA,Washington,53015,Cowlitz,53015,Cowlitz
Conconully,Conconully,WA,Washington,53047,Okanogan,53047,Okanogan
Latah,Latah,WA,Washington,53063,Spokane,53063,Spokane
Elma,Elma,WA,Washington,53027,Grays Harbor,53027,Grays Harbor
Tieton,Tieton,WA,Washington,53077,Yakima,53077,Yakima
Southworth,Southworth,WA,Washington,53035,Kitsap,53035,Kitsap
Danville,Danville,WA,Washington,53019,Ferry,53019,Ferry
Toppenish,Toppenish,WA,Washington,53077,Yakima,53077,Yakima
River Road,River Road,WA,Washington,53009,Clallam,53009,Clallam
Geneva,Geneva,WA,Washington,53073,Whatcom,53073,Whatcom
Yakima,Yakima,WA,Washington,53077,Yakima,53077,Yakima
Moxee,Moxee,WA,Washington,53077,Yakima,53077,Yakima
Edmonds,Edmonds,WA,Washington,53061,Snohomish,53061,Snohomish
Kalama,Kalama,WA,Washington,53015,Cowlitz,53015,Cowlitz
Laurier,Laurier,WA,Washington,53019,Ferry,53019,Ferry
Vashon,Vashon,WA,Washington,53033,King,53033,King
Country Homes,Country Homes,WA,Washington,53063,Spokane,53063,Spokane
